Date,Tweet
23-11-22 5:23,b'Man it feels amazing to be Mexican when the whole world tells you your people the best \xf0\x9f\x87\xb2\xf0\x9f\x87\xbd USA DOESNT DESERVE US \xf0\x9f\x98\xad'
23-11-22 5:18,b'guys be careful theres this really dangerous disease spreading around \n\nits called being mexican a lot of people are sharing their pride with this disease but please be mindful of them'
23-11-22 5:12,"b'@pollybild they\'re like Mexican dolls (?), they\'re from a line of pharmacies, but people in Mexico buy them and change them depending on the artist to give them to them at concerts\nthey\'re called ""Dr. Simi"".'"
23-11-22 5:10,"b""@prepstien @theserfstv Well, maybe if you guys weren't already calling for the genocide of Mexican people and gays you guys wouldn't have gotten punched? But I guess we're resorting to gunshots now, so I guess shoot a neo-nazi is gonna be the next chant."""
23-11-22 5:08,b'@haminator22 @FilmThePoliceLA I always tell people never to eat Mexican food in the OC'
23-11-22 5:08,b'mexican people are pretty cool'
23-11-22 5:01,"b""@ian693 If you want some decent fast Mexican food I would recommend Armando's they're all over the place and if you there on Sunday they'll have menudo! I'm not a big fan of In-N-Out burgers but for some people they love that place but I will give them kudos on their fries"""
23-11-22 4:58,"b""@L0m3z Graduated high school in 1980. Everything the people say about growing up was true IF you didn't live near gang areas. A Mexican gang shot a guy behind the English building on my first day of high school in '77."""
23-11-22 4:54,b'@RepAndyBiggsAZ Here we go with a colossal waste of time.  How about fixing the things that matter to people.  I\xe2\x80\x99m pretty sure Arizona has great need.  What about the cartels and Mexican caravans!? Or did they disappear all of a sudden.'
23-11-22 4:52,b'@categoryCHRISSY @DailyLoud So asians and Mexican people can say it as well?'
23-11-22 4:51,b'imagine not being mexican and going to mexico for the first time and experiencing how people drive over there LMFAO'
23-11-22 4:48,b'@antifaoperative @RepMTG You sound a little racist some black some brown some white and some yellow black white Chinese Mexican have been falsely in prison but that is far in few in between we are not living 80 years in the past people are only human and mistakes are made but we have to have laws'
23-11-22 4:47,"b""Did Kevin forget his voters, farmers, depend on Mexican farm workers. White people don't work in 105 degree temperature in the farms. https://t.co/lPgerQnLDI"""
23-11-22 4:47,"b'@ItsJustUsHarry there are pharmacies in mexico called farmacias similares and dr simi is the mascot, people dress up as them outside the pharmacy so you see them often in the streets. it became a mexican thing to customize the dolls as the artist and throw them on stage'"
23-11-22 4:40,b'@BillW01348670 M\xc3\xa9xico has the most talented singers in the world! Luis Miguel is a Mexican icon &amp; one of greatest crooners of all time.  He\xe2\x80\x99s a Mexican singer &amp; who represents the country of Mexico \xf0\x9f\x87\xb2\xf0\x9f\x87\xbd\xf0\x9f\x87\xb2\xf0\x9f\x87\xbd\xf0\x9f\x87\xb2\xf0\x9f\x87\xbd\xf0\x9f\x87\xb2\xf0\x9f\x87\xbd\xf0\x9f\x87\xb2\xf0\x9f\x87\xbd\xf0\x9f\x87\xb2\xf0\x9f\x87\xbd yep M\xc3\xa9xico has very talented singers &amp; people'
23-11-22 4:33,b'this means a lot to mexican harries because apart from the fact that dr. simi is an icon in pharmacies in mexico those simis are made by people with disabilities and this helps them a lot so thank you harry for saving your personalized simis \xf0\x9f\xa5\xba\xf0\x9f\xab\xb6\xf0\x9f\x8f\xbc https://t.co/gpzrQIEyvE'
23-11-22 4:33,"b""People don't know how some of these charter school teachers roll \nhttps://t.co/pkLSz4SZM0"""
23-11-22 4:27,"b'Abecedario bookends a larger reporting and memory project by a group of Mexican &amp; American journalists, artists, &amp; intellectuals who, since the 1990s, have revealed the full impact of globalization &amp; free trade on the people of Ju\xc3\xa1rez and Mexico. #CdJuarez https://t.co/UHj0q7gfg1'"
23-11-22 4:24,b'@RepBrianBabin @GOPLeader so you want to tell the Mexican government how to run stuff? Venezuela people don\xe2\x80\x99t have rights to talk now?!? That happens in dictatorships! We are NOT. Dictatorship in the USA!'
23-11-22 4:23,"b""All these reactions videos of Ochoa are crazy!! I love my people. Imagine if we weren't Mexican"""
23-11-22 4:23,"b'\xe2\x80\x9cThe publication\xe2\x80\xa6bookends a larger reporting and memory project spearheaded by a group of Mexican and American journalists, artists, and intellectuals who\xe2\x80\xa6have sought to reveal the full impact of globalization and free trade on the people of Ju\xc3\xa1rez and other border towns\xe2\x80\x9d https://t.co/e2V19hokzG'"
23-11-22 4:23,"b'@kanyewest Fuckin hell. My heart was broken already but yet.  Here we are with this shit!!  Your music led me through dark times.  I thank you for that but, bro.   Don\xe2\x80\x99t ever meet your heroes.  And I never even met you.  \xf0\x9f\x98\xa2. Btw.  I\xe2\x80\x99m Mexican.  They have my people in CAGES. So yea.'"
23-11-22 4:06,b'I seriously can\xe2\x80\x99t with every posts and Tik toks I see about grupo firme lmfaooo de verdad pensaron que iba ser la misma audiencia que asistieron gratis al z\xc3\xb3calo. People can call me a hater but not just cuz I\xe2\x80\x99m Mexican I need to like their ugly ass music! \xf0\x9f\x92\x80\xf0\x9f\x98\x82'
23-11-22 3:58,b'@tommylores WHY ARE PEOPLE ASKING ME TO GIVE THEM MEXICAN COINE IM A WHITE PERSON I DONT HAVE ANY STOP ASKING'
23-11-22 3:57,b'I\xe2\x80\x99m mixed.\n\nBut when it comes to people throwing race cards at me\xe2\x80\xa6.I\xe2\x80\x99m only called Asian or Mexican. And I\xe2\x80\x99m not Mexican \xf0\x9f\x98\x82'
23-11-22 3:57,b'@democracyinper1 @TBRagsdale1 @239aefmasdsewds @TonoElSub4T @davenewworld_2 I\xe2\x80\x99m sorry what? Mexicans didn\xe2\x80\x99t travel? Mexicans are a mixed people. No \xe2\x80\x9cMexican\xe2\x80\x9d is native to anywhere lol.'
23-11-22 3:48,b'@Project_Veritas The government has been blatantly aiding the Mexican Cartels in a mass human trafficking operation for the last two years. Millions of people.'
23-11-22 3:46,"b""@GregAbbott_TX @deliastamales But Greg she's Mexican? Her linage is of those scary rapists Mexicans you talk of son? You better get your people to get you to safety quick lol."""
23-11-22 3:46,"b'I remember Ethnic Studies taught me how this was prevalent among White Mexicans. One Mexican actor (I forgot his name,) was very successful in the Silent Era of film. But as people began questioning his heritage, he claimed to be Spanish and didn\xe2\x80\x99t want people to see his mother.'"
23-11-22 3:39,b'@insomniiia3 @EnMexicoMagico \xe2\x80\x98El America\xe2\x80\x99 is a soccer team in Mexico/Mexican league. It\xe2\x80\x99s hated by other teams in Mexico. So opposing fans chant \xe2\x80\x98chingue su madre El America\xe2\x80\x99 basically saying \xe2\x80\x98El America are motherfuckers\xe2\x80\x99 or \xe2\x80\x98Fuck El America\xe2\x80\x99. Hilarious that they got Arabic people to actually chant this \xf0\x9f\x98\x82'
23-11-22 3:39,"b""@realjuliasong Go to my mexican aunt. She'll say the cure is putting a pan to your face while two people throw rocks at you"""
23-11-22 3:37,b'@NickAdamsinUSA Why do Republicans hate black people Jewish people gay people poor people  Mexican people the middle class education and WOMEN just to name a few ?'
23-11-22 3:31,b'@Don_Favs Love how Mexican people are always the life of the party. It\xe2\x80\x99s the culture.'
23-11-22 3:29,"b""@Harvey77865 True, there's no way to verify individual goodness or badness of 400,000 people. As a group they're a little healthier than us Anglos per a grand rounds presentation in 2019. And the Mexican &amp; South American kids and families I've met at church and clinic - I'm glad they're here."""
23-11-22 3:23,b'@Official_Mento @lochu03 &gt; Mexican catholic telling people what is and isnt trad https://t.co/7YFAGAz3Nn'
23-11-22 3:22,b'Mexican Coke in a bottle used to be the hip trendy thing that was only available through certain retailers. @CocaCola realized people fell for the false \xe2\x80\x9cmade with real sugar\xe2\x80\x9d label and made it widely available.'
23-11-22 3:15,b'@arteaga053 @AMPitup2damax @heynaatasha @alicechasity1 @big_business_ So calling black people monkeys isn\xe2\x80\x99t offensive to anyone else who\xe2\x80\x99s black? And you said I\xe2\x80\x99m the one who is a mentally challenged. \xf0\x9f\xa4\xa3 You\xe2\x80\x99re clearly racist and then claim not to be just because you\xe2\x80\x99re Mexican and say \xe2\x80\x9cbut you\xe2\x80\x99re cool other black person!\xe2\x80\x9d'
23-11-22 3:11,"b'@Houis_Barry I LOVE Fast Food Mexican from Taco Bell!!! \xf0\x9f\x8c\xae However, TB features prominently in the new film People We Hate At The Wedding on Amazon Prime, right now...'"
23-11-22 3:07,"b""@Mollyploofkins About once a month for the last 3 months. I go to my favorite Mexican restaurant. Other than that I don't want to be around a bunch of people. This place plenty of room plenty of space and it's not always jam packed"""
23-11-22 3:06,b'@tedcruz Stop trying to turn Americans against one another in your attempt to hold onto power. You already proved how much you care about Americans when you high-tailed it to a Mexican resort when people in your state were freezing to death.'
23-11-22 3:02,b'@b0nk3rsz We were at a Mexican restaurant and literally they were the only people she gave a stank face to \xf0\x9f\x98\xad\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
23-11-22 2:59,b'A popular history of the Mexican people / by Hubert Howe Bancroft.\n\xf0\x9f\x93\x97\xf0\x9f\x91\x87\nhttps://t.co/bhYgtCWYry https://t.co/QHjSI9GeFb'
23-11-22 2:49,b'I love the fact that Mexican people turn up no matter where on the world \xf0\x9f\xa4\x9f\xf0\x9f\xa4\xa3'
23-11-22 2:46,"b""@ryan_hassett @nilocobau @SicTransitPHL @newdougman @macsquirelera it might've been due to timing, but the flight was obviously like 95% mexican people, barely any gringo tourists. they didn't even do announcements in english! somebody had to translate for me"""
23-11-22 2:34,b'I literally can\xe2\x80\x99t stop watching the World Cup TikTok\xe2\x80\x99s! Everyone cheering for their teams my Mexican people screaming to Ochoa\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb  ughhh Soccer has a special place in my heart so much diversity \xf0\x9f\x98\xa9\xf0\x9f\x98\xa9\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x92\x96\xf0\x9f\x92\x96\xf0\x9f\x92\x96\xf0\x9f\xab\xb6\xf0\x9f\x8f\xbb'
23-11-22 2:33,b'@MartaDun1 @TruWordsRSpoken @LakotaMan1 That is an indigenous mexican. Same as native Americans just separated by the borders that white people created'
23-11-22 2:33,b'@elonmusk @BillFOXLA @FoxNews Elon I wish more people would realize the contributions to our economy by immigrants. I can assure you if you have gas in your tank some Mexican born workers helped get the oil out the ground in Texas. God bless those who strive to better themselves'
23-11-22 2:32,"b'Do people who go to the gym to ""feel the burn"" know nothing of Mexican food?'"
23-11-22 2:30,"b'@abughazalehkat So in other words, until people stop being black, Latino, Mexican, gay, lesbian, Chinese, Japanese etc, white Republicans are going to continue being a threat to America....'"
23-11-22 2:29,b'@uno_eyed_willy @ClownWorld_ It would be like if we were to start murdering Mexican nationals and for 8 years mexico finally said enough we are going to fight for our people.. you clearly have no idea of the geopolitics of the region'
23-11-22 2:28,b'@NoContextBrits Do you people behave like American people. Are there Mexican people living in the UK? Or Americans?'
23-11-22 2:22,"b'@CommentCoppedd @nicholasdeorio In short, an overweight kid talking shit about people on the internet when in real life he is the equal to a hamster. Tipster is the Mexican version. Ever own a hamster?  They are easily forgotten like a grain of sand. I usually have symphathy towards hamsters , not in this case.'"
23-11-22 2:20,"b""3/3 while @SecMayorkas @ICEgov charge every Mexican seeking Asylum with illegal entry and escorted them across the bridge back to Mexico? Mayorkas and ICE refuse to answer these questions but videos don't lie as to how these people entered and where."""
23-11-22 2:16,b'This right here. I love my Mexican people. They are having fun dancing to La Chona\xe2\x80\xa6\xf0\x9f\x92\x83\xf0\x9f\x8f\xbd\xf0\x9f\x87\xb2\xf0\x9f\x87\xbd\xf0\x9f\x98\x82 https://t.co/24amEuO5RR'
23-11-22 2:16,"b""@DonaldJTrumpJr Didn't your Dad look at Mexican people and insist they were all thieves and drug dealers? Which is interesting considering your little nose habit."""
23-11-22 2:11,b'@CleverHousewife @mail4rosey I like creating themes and asking people to bring different items. Food bars are great. Mexican food is always fun. Another great idea? Ask people to bring their favorite #guac recipe and try all of them #gno #Guackeepers #AlwaysGood #Takis #Soccer #Sweepstakes'
23-11-22 2:10,"b'@DonaldJTrumpJr Like when your father called Mexican people rapists, drug dealers and murderers.  https://t.co/EExkcL6Icz'"
23-11-22 2:10,"b'Do people who go to the gym to ""feel the burn"" know nothing of Mexican food?'"
23-11-22 2:05,b'@Helios5868 @flawedhowl @BLlamma @HStiernstrand @CritFacts @ejrosetta @annieduffin You sound like those white ladies who insist Mexican people learn English if they want to stay in America. How nationalist of you. https://t.co/MRbbp6FkkI'
23-11-22 1:58,"b'Do people who go to the gym to ""feel the burn"" know nothing of Mexican food?'"
23-11-22 1:53,"b'Do people who go to the gym to ""feel the burn"" know nothing of Mexican food?'"
23-11-22 1:53,b'Love my Mexican people \xf0\x9f\x98\xad https://t.co/6GEzhHt7Zd'
23-11-22 1:49,"b'Or how little people know that many Mexican families grow up with drag shows at pozolerias, marisquerias, bars, &amp; other restaurants. https://t.co/a1YK4NL80H'"
23-11-22 1:48,"b'Although Qatar was the worst place to have the World cup, I enjoy watching all these cultures celebrate together. Especially my Mexican people; we really out in Qatar \xf0\x9f\x98\x82.'"
23-11-22 1:45,"b'@RonFilipkowski Yah, it started with Clinton.  Not with people supporting Mr. Grab \'em by the Pussy.  Or Mexican are rapists...  Or some of them are good people...  Or ""who is David Duke?""...'"
23-11-22 1:43,b'Gotta love Mexican people. https://t.co/QyxJCCE6e3'
23-11-22 1:43,b'@BeschlossDC I had spent two days climbing a volcano outside Mexico City and when I walked to the bus to take me back to the City several Mexican people came up to me in great sadness and said\xe2\x80\x9dYour President was killed today (in Spanish) and we both looked down in sad silence.  We rode in sil'
23-11-22 1:40,"b'Today, tens of thousands of people belonging to United States Native tribes live in the Mexican states of Baja California, Sonora, Coahuila and Chihuahua, my research estimate\n\nARTICLE https://t.co/C91S13NGSU\n\n#NativeLands #FinishTheWall\n\nqt-iland-004 #BorderObserver https://t.co/La6X7B8t9c'"
23-11-22 1:37,b'@jocktaff12 @ElGab she literally was dancing and mocking the crowd when they told her to get down. she disrespected the mexican people on their own country. she deserves a little bit of water thrown at her bffr'
23-11-22 1:37,b'@POTUS Nothing for the toxic exposed citizens who are victimized by a Mexican drug cartel huh. 50 years and counting. Countless families destroyed. 400 dead Americans a day just from #fentynal you will answer for this #narcoterrorisim you have unleashed on the good people of \xf0\x9f\x87\xba\xf0\x9f\x87\xb8'
23-11-22 1:37,b'Never been more prouder to be Mexican after seeing my people in Qatar en el desmadre \xf0\x9f\x87\xb2\xf0\x9f\x87\xbd'
23-11-22 1:35,"b'@F1ckleS1ckle For desserts, I made a spicy Mexican chocolate tart w/red pepper flakes, a coconut pie, fruity pebble custard tart, banana pudding pie, and a carrot cake &amp; pumpkin pudding trifle. I\xe2\x80\x99m cooking a lot because we have a huge gathering of people every year. It\xe2\x80\x99s not just for us, lol.'"
23-11-22 1:32,"b""@tatergreater @Gkos1982 @ElGab Apparently you can't climb it anymore because some old people fell and one died. \n\nIm not seeing any evidence that she's not Mexican though."""
23-11-22 1:31,b'this makes me so happy i love my mexican people \xf0\x9f\x92\x9a\xf0\x9f\xa4\x8d\xe2\x9d\xa4\xef\xb8\x8f'
23-11-22 1:27,"b""@katiehobbs @emoctezumab @AlfonsoDurazo @jorgem_yescas Hobbs is for open borders, Mexican officials are owned by the Cartel, open borders mean Cartel has a free ride to US to sell they're drugs! Fentanyl is the no. one killer of young people in Arizona, Cartel loves Hobbs!"""
23-11-22 1:17,"b'@AmandaLMcDaniel @lavern_spicer @elonmusk Actually he\xe2\x80\x99s African, he could identify as African American legally like I can be considered Asian American. Per the US government. I just go by what ever people think I am, which is often Mexican \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8fI don\xe2\x80\x99t care \xf0\x9f\x98\x82'"
23-11-22 1:16,"b'for the people that date outside mexican culture, how do u explain to them you have them up to the mother?'"
23-11-22 1:16,b'@RyanMarino @Smittie @SenatorTester People were ordering it from China lol these people just invent reasons to be mad at Mexican people.'
23-11-22 1:15,b'people who don\xe2\x80\x99t appreciate REAL Mexican food just give me the ick'
23-11-22 1:14,"b""@Smittie @SenatorTester That's not how it works and it never has... People have been ordering fentanyl from China for years. Do you think that a Mexican was delivering it to people's doors?"""
23-11-22 1:14,b'@TruthIsAGoddess @KimDotcom @elonmusk @BillFOXLA @FoxNews And how do they prove anything? They dump their identity docs on the Mexican side of the river. The only intel we have on any of these people are via our own databases or Interpol. Given the lax governance in most of SA we have no clue who these ppl are other than what they say.'
23-11-22 1:10,"b""@MeaCulpa4444 @Needle_of_Arya I don't like All white people nor do I like All Black..Mexican or Asians..But unless I can stop you from progressing as a Nation or individual then I just don't like you.Simple"""
23-11-22 1:10,"b'Do people who go to the gym to ""feel the burn"" know nothing of Mexican food?'"
23-11-22 0:58,"b'@Shoxie75 @em_sandy Slam it he did.\nNow, learn one thing.\n\nWhy is people praising the Mexican goalkeeper?\nApparently, he tricked Lewandowski into thinking he would dive to the right.\n\nThose little things make the difference between a poor kick and a good save.'"
23-11-22 0:55,"b""@JBrisenio411 But don't the people running for their life from the monster America created, the cartels,  deserve some compassion?\n\nI have first generation Mexican immigrant friends that also have black friends they met through me and some before I even met them.\n\n2 of them are even dating."""
23-11-22 0:50,b'Me and my mom argued for like 20 min because I was trying to show her the video of the Mexican people at soccer game teaching Indians how to say Fuk American in Spanish. And she\xe2\x80\x99s was like we are all American. And then proceeded to explain continents'
23-11-22 0:49,b'@BeschlossDC We were living in Mexico City. All our Mexican friends insisted it was a CIA hit. Everywhere we went in the city that day there were framed photos of JFK in store windows. People stopped us on the street and offered condolences. Taxi drivers refused to take payment.'
23-11-22 0:49,b'I remember when people would always assume that I was Mexican ;-;'
23-11-22 0:48,"b'@EricEatsHTX The number of people that go into a restaurant that has \xe2\x80\x9cTex-Mex\xe2\x80\x9d on@the sign, menu, etc and complain about it not being Mexican food is almost hilarious.  Just eat your queso and drink your margarita.'"
23-11-22 0:48,"b'@ava880_ @DylanAiPs @notblissed Yeah man i dont disagree. I just think it\xe2\x80\x99s interesting how mexicans and blacks are intertwined in history. And thas facts, racism is a huge problem in mexico. Indigenous people and the afro/mexican communities are treated like shit. Doesnt make sense.'"
23-11-22 0:46,"b'@fcbarcelonaorg @Mojave19 @Sigma_Drac @davenewworld_2 It was a Mexican \xf0\x9f\x98\x82\xf0\x9f\x98\x82. You are an uncouth clown. \n\nCry harder. My God, what is wrong with you people.'"
23-11-22 0:43,"b'@JaneotN the rallies look like these people \nwith swastikkka flags---\nthe evil racist came down the escalator, called \nMexican racists-&amp; the maggots erupted-'"
23-11-22 0:42,"b""@davenewworld_2 What's wrong with people!?  I understand that the Mexican tourist was wrong to climb the pyramid but the behavior of the Mexicans has been disproportionate and terrible."""
23-11-22 0:35,"b""Why do good Mexican people and other good people from south of the border who want to escape the cartels, let the problem they're escaping tailgate in after themselves?\n\nWhy don't they want to get in here safe and slam the door shut?\n\nHow can we fix that?"""
23-11-22 0:34,"b""@TransphobicLs Why can't we just have both? I despise people perceiving/pushing it as transphobic when it really isn't. Let's say someone is proud they're Mexican, they can't show that now cus all the options are pride flags. JUST HAVE BOTH and stop calling people your enemies when they aren't."""
23-11-22 0:32,b'The way white people react when they get their Mexican food should be considered racist'
23-11-22 0:31,"b""@vicsfightpage bro why they saying ooh he a white boy okay and just because he is white yall thought that he was gonna lose no all white people don't know how to fight and not all do just like not all Black or Mexican or any other culture all knows how to fight or all doesnt know how to"""
23-11-22 0:28,"b""If you actually supported LandBack, you would lobby for the US to return all the states that it took from M\xc3\xa9xico following the Mexican American war. \n\nBut since you're an egotistical white boy LARPer, you pick the most demographically irrelevant groups of people to champion for. https://t.co/tRPB0asZ8j"""
23-11-22 0:23,b'@Ginochiothiago @Hugo_MA4 @GuillermoCasas2 @nocontextfooty Argentinians are so racist. Why does skin color matters. The fuck . Only the lowest low life who has nothing going for them think being white or light skin is something to be proud of. The Mexican team for all we know could be better people'
23-11-22 0:22,"b""Watching @BritishBakeOff and not being able to stand the torture of people not taking the time to learn how to pronounce words like 'dulce' or 'tres leches'. It was Mexican Week. Do your #homework and leave the arrogance behind. #Netflix https://t.co/eS0jWS3jrs"""
23-11-22 0:22,b'Humble Taco is closing and I for one am not surprised. \n\nI know a lot of people liked it but I thought their service was ass and the food was mid tier among our 79 Mexican restaurants in Starkville.'
23-11-22 0:20,"b""Some People Wanna Throw Dirt On Your Name, Some People Wanna Moan It, Can't Please Them All That's Life- Teo"""
23-11-22 0:20,"b'The beautiful Mexican National Anthem sang by thousands of people in Qatar , amazing! \n\nWould love to hear the USA anthem with that passion too! Don\xe2\x80\x99t know why my kids were never taught the USA anthem in school.\n\n#FIFAWorldCup #Mexico \xf0\x9f\x87\xb2\xf0\x9f\x87\xbd#USA \n\nhttps://t.co/tYVkL7j9tB'"
23-11-22 0:07,"b'@canuck5551 Yes, and we have tons of fun poking fun of people wearing mask...so it is a MEXICAN STAND OFF.\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\x98\x8e'"
23-11-22 0:04,b'@GregAbbott_TX Tried Delia\xe2\x80\x99s Tex Mex tamales after so many people claiming they were the best. I was so disappointed. I have gotten used to the authentic Mexican tamales. Delia\xe2\x80\x99s is severely overhyped \xf0\x9f\x99\x84'
23-11-22 0:03,"b'@ESPNFC @herculezg Too bad none of you are sober-minded enough to let people know Ochoa took a full step into the field - an illegal move off the line - which was ""somehow"" (80K Mexican fans) missed by the goal line ref.'"
23-11-22 0:02,b'my supervisor loves to capitalize on mexican people and say \xe2\x80\x9cmy people\xe2\x80\x9d but had me working instead of watching the game\xe2\x80\xa6.SMH https://t.co/EQM0m8JIwI'
22-11-22 23:59,b'@Jahkki I love Mexican people. \xf0\x9f\x87\xb2\xf0\x9f\x87\xbd\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb are your family from San Miguel de Allende mexico? I been their millions times'
22-11-22 23:50,"b""@GOPLeader Nice! I'm all for holding all of the insurrectionists, including TFG &amp; your MAGAt peers, accountable. What is your plan to handle the border? If you gave me a realistic plan and stop whining, I'm all ears. Our workforce is reliant on the Mexican people. You cannot slam the door."""
22-11-22 23:49,b'also saw a tiktok of a yt woman that went to a MEXICAN restaurant and was mad so she attacked them for not speaking english well enough like who do you people think you are really'
22-11-22 23:48,"b'@JoJoFromJerz Diversity would include black, Mexican, Indian, Asian republicans, but ya all don\xe2\x80\x99t! So ur party is the least diverse just more controlling that\xe2\x80\x99s all! Equity would be giving money back to people who paid there loans off already for school not just so much of a few currents! P1'"
22-11-22 23:45,b'@Strandjunker People just treat people bad because they are BIGOTS!! AND need to turn that gun onto them selves. they are mentally gone in reality period. People treat even their own like crap. no difference in the color of our skin.. I am white skinned but am most a Mexican'
22-11-22 23:41,"b'@nilbogdotgov @AnchanteValeria @SimuLiu Are those critics descendants of Mayans, or had any proof that someone from them had any complaints? Cause otherwise the critics &amp; you are just trying to speak for people that you have no connection to. I actually have a connection to Mexican indigenous &amp; I\xe2\x80\x99ve only seen praise'"
