Date,Tweet
25-11-22 1:49,b'we won\xe2\x80\x99t eat till 8\xe2\x80\xa6. I hate Mexican people https://t.co/HIPb8y7Os4'
25-11-22 1:46,b'Every Thanksgiving my main sides are Spanish rice and borracho beans. \n\nI\xe2\x80\x99ve had people say that\xe2\x80\x99s so odd.\n\nBut when I was little my grandmother (Mexican) would make me some for every Thanksgiving because they were my favorite things she made. \n\nAnd every year they\xe2\x80\x99re 1st to go.'
25-11-22 1:43,b'why r mexican people messing w the history of our country im throwing hands'
25-11-22 1:23,b'My Mexican family decided to play Millennial Lottery (a parody version of La Loter\xc3\xada) once we saw all the names in the cards\xe2\x80\xa6.\n\nMy Aunt: we should sue these people \n\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 why is La Bandera one \xe2\x80\x9cEl Pride\xe2\x80\x9d \xf0\x9f\x91\xb9'
25-11-22 1:23,"b""Open note to @Verizon\n.\n I have been using Verizon for 25 years now, but I'm going to stop using them because they  put up TV commercials with people speaking Jibberish, AKA Mexican Spanish.  \n\nNo thanks. This is America not Mexico. Keep your service. I'll keep my English."""
25-11-22 1:21,"b""@aliyahInterlude people say this about chipotle and i still don't get why at all. just haven't had good mexican food"""
25-11-22 1:09,b'No because people really having Mexican food for thanksgiving Lmao \xe2\x80\xa6'
25-11-22 1:07,"b'@JennaReger5 @clarkthejedi @AngelaBelcamino Saying outright \xe2\x80\x9cit\xe2\x80\x99s okay to be racist to people as long as they\xe2\x80\x99re Mexican\xe2\x80\x9d seems pretty blatantly racist. But okay boomer, you do you.'"
25-11-22 1:03,b'@AnniyahR_ Well Mexican authorities just issued an arrest warrant for one of the people involved. They haven\xe2\x80\x99t released the name.'
25-11-22 1:02,"b""Para que mentirte \n\nLook for your own people \nDon't come to me because I'm the wrong guy \n\nI'm not the Mexican kid https://t.co/kUKAHmOriy https://t.co/tQbTtsXR8Z"""
25-11-22 0:58,b'lol how is it that there\xe2\x80\x99s only 1 theater in a city of over 1 million people playing pinocchio when it was made by a mexican director'
25-11-22 0:57,b'Can\xe2\x80\x99t let turkey day pass by without telling more people about the Mexican vampire witch that turns into a turkey to hunt children \xf0\x9f\xa6\x83 Meet the Tlahuelpuchi\n\nhttps://t.co/cjtxEY61pE'
25-11-22 0:54,b'I thought rich white people were the Devil but it turns out it\xe2\x80\x99s a poor Mexican \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
25-11-22 0:53,"b'@whimsywordstwo I saw your narcissistic race baiting ""wHitE pEoPlE"" response. Should we ask you if it\'s okay to talk about white people being butchered in the future?\n\nImagine thinking the current DOJ, Mexican government and the news media don\'t agree with your race baiting takes.'"
25-11-22 0:52,"b'@linda082362 @KimCioti @FoxNews Easy from day one when he came down the escalator and called Mexican rapist and criminals, \nWhen he called nazis good people, every time he said china virus, when he signed a ban on muslims, when he called muslims and African countries shitholes\nIs that sufficient for you?'"
25-11-22 0:48,"b""@IsaacHayes3 @lulu77781 @elonmusk the state capital the break room is full of f****** dark skinned Indians they ain't there for that they are dare to dig ditches they can get Latinos in Mexican for that not no black people"""
25-11-22 0:30,b'@gaybe_miller @michaeljknowles @folkslinger Hawaiian people stole the guitar use and sound from Mexican people. They copied the guitar and made some smaller. How far back do you want to go?'
25-11-22 0:26,"b""@SerodinSedranor @of_eys Lmao, big! Mexican extended family + close friends of family and it quickly adds up, I think there's around 100 people or so here today, just a wee bit bigger than your traditional American family dinner \xf0\x9f\x98\x86."""
25-11-22 0:25,"b'@wormeatenheart Yeah everyone at my school is white, with the exception of a few mexican people and like 2 black people. The bigotry is so bad here and no one bats an eye it makes me wish I was dead'"
25-11-22 0:22,"b'@brianmfear @JRC0986 @antifakate @eliasthechamp07 Do you realize how much of a smugg westerner you are for lumping all people form south of the border   who are from Columbia,  Nicaragua,  Honduras  etc. As Mexican or Hispanic.'"
25-11-22 0:22,"b""@POTUS \xe2\x81\xa6@thejointstaff\xe2\x81\xa9 \xe2\x81\xa6@ussf_hc\xe2\x81\xa9\n\n54 minutes in...\n\nI teach with stories\nYou know this\n\nMexican people\nAre PART of Turtle Island\n\nYou don't get to exclude them\n\nBut in order to HEAL\nThe riff that exists\n\nYou must separate out the mafia\n\nA'ho https://t.co/7N183gV6VY"""
25-11-22 0:21,b'i love stirring drama around the holidays for simply just existing it\xe2\x80\x99s comical how my mexican extended family is racist towards ourselves and hates gay people haha peace and love'
25-11-22 0:20,"b""@GasolineJoy @thothgow @lackingsaint I've known a ton of Mexican and Spanish people named Israel"""
25-11-22 0:16,"b'Like the Mexican Independency (15th Sept) where people can drink tequilas or eat some tacos!\nLike the halloween event. That can be fun \xf0\x9f\x98\x8a.\n\nAs a player and CC, even a small change would be so awesome! So please, considerate this for the next year. Thanks for reading all. \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x92\x95'"
25-11-22 0:16,"b""other communities.\nSpanish server doesn't mean you have to translate the game.\nThere are a lot of spanish speakers people who really enjoy the game and they would be happy with this too. \nAnd if you don't like the idea at all, you could do a mexican celebration,"""
25-11-22 0:16,b'Being Mexican doesn\xe2\x80\x99t give u the right to dress up as Namor lmfao u look like jlo continue to ignore and dismiss Indigenous people in Mexico stfu sit down and suck a mean dick'
25-11-22 0:16,"b'@PatriotMarcille u like me a lot ur giving me a lot of attention n giving me impressions while I make fun of a 5\'6"" homosexual mexican white nationalist (who LOVES black people) HAHAHAHAAHAHAHAHA'"
25-11-22 0:12,b'15 Mexican people I have never met just showed up for Thanksgiving dinner and now I gotta make small talk for an hour kill me now'
25-11-22 0:08,b'Okay so is no one gonna talk about how white people are crazy \nmy mom - white\nMy dad - Mexican\n\nmy mom with some crazy ass dude going back and forth in and out of jail\n\nmy dad already in prison getting out in 4 years \n\nlike please explain-'
25-11-22 0:07,"b""@wekamastic I need to convince others........... i'll do anything just to lie to people and make them believe andre is canon mexican."""
25-11-22 0:06,"b'@paigejiffy Maybe just four from the look of it, five if you count the people disfigured to look like classic monsters in Santo in The Wax Museum. Mexican vampire cinema in general is some great stuff.'"
25-11-22 0:05,"b'Me after having to play 4 hours of lock down defense for LGBTQ+ People, Black people, Mexican people, women, The NFL, mentally ill people, School Children, Jewish people, Muslim people and All of Asia at thanksgiving dinner. https://t.co/YUJ7ZmwD2o'"
25-11-22 0:03,b'White people dinner \xf0\x9f\xab\xb1\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\xab\xb2\xf0\x9f\x8f\xbd Mexican postres \nThanksgiving at me and Sean\xe2\x80\x99s  house https://t.co/WIfdTFuAXh'
25-11-22 0:00,b'them people that m*rdered shanquella robinson are gonna be soooooooo far underneath that Mexican jail it\xe2\x80\x99s not even funny'
24-11-22 23:57,"b""@FloridaManPig @OmarNNoticias They are, but, betwen them. Don Get confuse, mexicanos people are better than argentinians. That's way they come yo M\xc3\xa9xico to try to get the mexican dream."""
24-11-22 23:52,"b'White men married into Mexican families and claiming racism against white people, say you only have 2 brain cells to rub together and keep it pushing man'"
24-11-22 23:49,"b""I can't stand white people always telling me it LatinX or your a racist.. \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 I'm Mexican and I'm racist against my own race.. \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 white people aways telling color people what to do, think and speak. Or you are a racist https://t.co/FXEkuWwuVi"""
24-11-22 23:41,"b""People used to say my son looked like a Mexican Biggie. And when he was first born, memories of Biggie... you know, we didn't always have the greatest days. For at least half the length of our marriage we were separated, so everyday was definitely not a good day."""
24-11-22 23:36,"b'@lsdy79 @joncoopertweets Agree,I could go thru crime statics of ethnic groups,majorities&amp;minorities&amp;pick out murders committed by each.Mexican cartels have,in total,murdered many more people in mass shootings than mass shooting murders committed by whites.but have good Mexican and Black Christian friends'"
24-11-22 23:26,b'@me2pluto A Mexican orphan who starts a war against black people \xf0\x9f\xa4\x94'
24-11-22 23:25,"b""My Heart Lies South: The Story of my Mexican Marriage: Young People's Edition AQUT31F\n\nhttps://t.co/g0Tx0GwmDz https://t.co/B2fL9JnS6m"""
24-11-22 23:22,b'@KingMoney418 @overtime Man thank you I been tellin mfs the families that got both black and Mexican people in that house cookin are eating GOOOOD today \xf0\x9f\x98\xad\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5'
24-11-22 23:21,"b'My Mexican ass family really don\xe2\x80\x99t give a fuck, man. Had three people already grab my ass and tell me it got huge \xf0\x9f\xa5\xb2'"
24-11-22 23:18,"b""@tiffmc1013 People are complex contradictory things.We're all kind of broken vessels in some way or another. It's hard to know the line sometimes. In 2016 when Trump said that stuff about the federal judge with Mexican heritage I was surprised that didn't end it for him. I knew America"""
24-11-22 23:15,"b'@MayraFlores2022 As a Mexican, you are a disgrace to our people\xe2\x80\xa6'"
24-11-22 23:13,b'@myc3llium \xf0\x9f\x98\xad oh god nooooo. this is like a mexican type of the ambrosia salad people make'
24-11-22 23:12,"b'#JusticeForShanquellaRobinson NOW!!! Her murder matters and the people responsible MUST be ARRESTED IMMEDIATELY and BROUGHT to JUSTICE!  What are the #Mexican &amp; American law enforcement agencies waiting for. She was beaten to death. No one helped her, but they video taped it?! \xf0\x9f\x98\xa1'"
24-11-22 23:05,"b'@lindyli I was bullied as a kid. Called spick, wetback, greaser, dirty Mexican, beaner, and physicaly assaulted. I went on to retire from military &amp; US government service. I healed &amp; saved people. I prevented foodborne illness in people. I gave back to my country. \nI never killed anyone.'"
24-11-22 23:00,"b'@frogawdess man I know lmao its either white people thanksgiving food and Mexican food every year for me. I want Mac and cheese on my plate next year, not rice'"
24-11-22 22:49,"b'Just had good at my first white people thanksgiving. Y\xe2\x80\x99all, the food was smacking. Now onto my Mexican familia \xf0\x9f\x94\xa5'"
24-11-22 22:44,"b'so we know black panther is a very prominent story in the genre of afrofuturism, that\xe2\x80\x99s the first thing people think of for that term but after seeing wakanda forever and it\xe2\x80\x99s use of mayan/mexican culture tied with science/technological fiction, is there a name for that as well?'"
24-11-22 22:38,"b'Yes, this post is me ranting about people calling Elote \xe2\x80\x9cMexican Corn Salad\xe2\x80\x9d or \xe2\x80\x9cMexican Street Corn\xe2\x80\x9d\xe2\x80\xa6. It has a name. CALL IT BY ITS NAME. It\xe2\x80\x99s really not hard.'"
24-11-22 22:37,b'@estherk_k I\xe2\x80\x99d love to see a global poll on what\xe2\x80\x99s the world\xe2\x80\x99s people perception of American \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 people? I\xe2\x80\x99m Mexican and live in Canada. In both countries they are not very well perceived.'
24-11-22 22:31,"b'What? You people are fucking delusional. Like, literally noone in those ""leftist"" counties want to secede. Secondly, if the only parts of the states to remain are the ones in red, that\'d be a miserable state. Would literally just consist of illegal Mexican farmers and metheads. https://t.co/tfAQjuStMi'"
24-11-22 22:21,"b'@CorneliusMHayes Um, I\xe2\x80\x99m Mexican hunny \xe2\x80\x9cmy people \xe2\x80\x9c wernt apart of that lol \xf0\x9f\x98\x82'"
24-11-22 22:15,b'there is just no way people are already eating for thanksgiving rn\xf0\x9f\xa5\xb8 it\xe2\x80\x99s literally 2 o\xe2\x80\x99clock?? i haven\xe2\x80\x99t even started getting ready yet\xe2\x80\xa6im on mexican time y\xe2\x80\x99all stay safe out there\xf0\x9f\xa4\xb8\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\xab\xb6\xf0\x9f\x8f\xbc'
24-11-22 22:09,b'@CallofDuty The Mexican special forces bundle is not available on the store for me and there\xe2\x80\x99s a bunch of people with the same problem i wanna buy it'
24-11-22 22:05,"b'Lupita Nyong\xe2\x80\x99o is Mexican (and Kenyan) and if you are Mexican and you denying she is, kindly go fuck yourself because she is a queen and she is Mexicana and she represents mi pa\xc3\xads better than most people. Including you idiots that deny her nationality.'"
24-11-22 22:04,"b""@bestestname @AnniemuMary It's crazy to me how often I see people walk into our local Mexican places and ask what basic menu items are. It feels like being punk'd. Where's the camera?"""
24-11-22 22:00,"b""@terminallyOL They made everyone ugly and a bad actor, plus you can cut off your characters arms. It's  pretty brutal.\n\nI think there's Latino people in it.. you know, in the mexican map.. \n\nWoke af."""
24-11-22 21:59,"b'Conservatives mad that Macy\xe2\x80\x99s Parade, located in NYC, has Black people, queer people, a Mexican marching band, etc https://t.co/f5etaQrNrQ'"
24-11-22 21:57,b'@jerryqueer_ my family just does white people food for thanksgiving but we bust out the mexican stuff when its christmas'
24-11-22 21:53,b'My mom always be on white people times when mexican times is different so we here a whole 3 hours early'
24-11-22 21:50,b'Sterling beats this traitor of the Mexican people https://t.co/ooPB2y123L'
24-11-22 21:49,"b'An arrest warrant has been issued in the death of Shanquella Robinson, according to a Mexican prosecutor \n\nOne of the people with Robinson \xe2\x80\x9cwho is the direct aggressor\xe2\x80\x9d is being sought by international authorities on charges of femicide\n\n#justiceforshanquella \n#shanquellarobinson https://t.co/SXng1PQFlR'"
24-11-22 21:43,"b""@drearitzy @sapataodcristal @Justanormaldraw @opal_lines Genetics are weird indeed! I'm full mexican,both my parents are full mexican too  and i came out identical to both except i inherited my grandmother's skin tone and is light tan instead of brown skin like my parents\nPeople nit-pick you no matter how Latino/Hispanic you are \xf0\x9f\x98\x85\xf0\x9f\x98\x85"""
24-11-22 21:43,b'@hearts4solace @j4sonmybeloved THIS IMAGE HAS BEEN DOCTORED I DONT HATE MEXICAN PEOPLE'
24-11-22 21:41,b'@lando_uso @yeongno3 I am Filipino and people mistake my family for Mexican or other such stuff. Also people say we\xe2\x80\x99re Pacific Islanders.'
24-11-22 21:40,"b""Then u ever seen a Mexican or Chinese who act illiterate and u know damn well they speak English and know wtf going on but then its some people who actually don't understand and know what happen or what's going on or how to speak for real vs somebody who acting illiterate"""
24-11-22 21:39,b'seeing all the mexican fans in qatar is fucking hilarioussss i love my people'
24-11-22 21:37,"b'[ food ]\n\nTold my JP language classmates that my family doesn\xe2\x80\x99t usually celebrate thanksgiving with turkey and ham and potatoes and stuff. Instead we make tamales, beef and other Mexican dishes, and now I have a horde of people wanting to drive 2 hours for food'"
24-11-22 21:28,"b""@RyanAshcroft @SwissToni14 @RealDeniseWelch I'm not comparing, I'm using a law in one country &amp; a law in another as an example.\nI could have picked any random law, but I chose a sex law to get people to think.\nIt could have been underage drinking,  chewing gum in Singapore, kissing on some Mexican streets.\nIt's an example"""
24-11-22 21:21,"b'@FrankMatela @LakotaMan1 Indigenous peoples were pillaging and conquering long before Europeans arrived, but nobody wants to talk about that, oh and thank God for Colonization of the new wolrd,as someone of mexican descent i am happy that Europeans put an end to sacrificing people from the top of pyramid'"
24-11-22 21:19,"b'@Highway_30 AND IM BROWN, PART MEXICAN AND NATIVE PEOPLE HERE ON LAND BEFORE AMERICA(S) OR WHATEVER RACE/SKIN COLOR MEANS'"
24-11-22 21:19,b'Why am i the only mexican in miami \xf0\x9f\x98\xad. I wanna be with my own people'
24-11-22 21:19,"b'@THEEMZBLUE @DailyLoud It literally THE ONLY THING that makes you Mexican. Mexico is a country, not a race. Black, white, native Indian people are Mexican\xe2\x80\xa6'"
24-11-22 21:16,"b""this korean mexican youtuber i watch is living in sk rn and just explained that people in sk have a whole wedding ceremony but don't legalize the marriage right away?\xf0\x9f\xa7\x90 it's the first time im hearing this tbh but she says many people are doing this, they wait to legalize it"""
24-11-22 21:13,b'@RBReich You should leave this country so you could be happy. I love this country and as a Mexican/American I tell all those who don\xe2\x80\x99t appreciate our way of life; get the f\xe2\x80\x94k out so we the people don\xe2\x80\x99t have to see you suffer.'
24-11-22 21:13,b'My Mexican people WHAT IS THISSS https://t.co/UZeEPoIg8j'
24-11-22 21:12,"b'@charismax111 @Christiancolaru @Ballislife They\xe2\x80\x99re ungrateful then, because there is people in Third World country who would love to trade spots with us. Ppl cross the Mexican border &amp; and die for the opportunity.'"
24-11-22 21:10,"b""@BarackObama @JoeBiden @BillGates \n\nand the Mexican businessmen. There are people who don't change and who by nature IS ASSHOLE. Do you know someone with these characteristics L\xc3\xb3pez Obrador?"""
24-11-22 21:06,"b'@russ_612 @davenewworld_2 Nope, sh\'s a Mexican national. Funny how quick people were saying that she\'s an American! LOL\n""According to Daily Mail, the trespasser is 29-year-old Abigail Villalobos, of Mexico, who locals are now calling Lady Chichen Itza.""\nhttps://t.co/dj5Duu3pVd'"
24-11-22 21:05,b'Me being a group latinx people: does my Spanish sound mexican? \xf0\x9f\x91\x81\xf0\x9f\x91\x84\xf0\x9f\x91\x81'
24-11-22 21:03,b'@OrwellNGoode You\xe2\x80\x99re kidding right? Real Mexican food has the culinary delights of warmed up vomit. The beans are the worst. What people think is Mexican food is TexMex.'
24-11-22 21:01,b'@FBPAjRingo2389 @darrengrimes_ How are black and brown people disadvantaged?  I am half Mexican and I grew up very poor and became very successful.  It is all about what YOU put into it.'
24-11-22 20:55,"b""@TheHudVirus @inoculatedmonke @killl_M0E @raphousetv2 Brazil has more black people than Nigeria. My family is black, my friends growing up were black. I'm Caribbean I'm Puerto Rican we not all Mexican"""
24-11-22 20:50,"b""It doesn't matter who is playing I swear there is always a Mexican flag in the crowd. I love my people \xf0\x9f\x98\x82\xf0\x9f\x87\xb2\xf0\x9f\x87\xbd"""
24-11-22 20:46,"b'Upper class Americans embrace it (probably due to travel, &amp; the prioritization of health.) Italian, Asian, Arab people embrace it. Black people, Mexican people embrace it.'"
24-11-22 20:38,"b'&lt;br&gt;After the earthquake, Sean Penn brought __________ to the people of Haiti. &lt;br&gt; &lt;br&gt; --Authentic Mexican cuisine.--&lt;br&gt;'"
24-11-22 20:30,"b'@Vlmasters0 @254lyt @Zzzackseid @THEEMZBLUE @DailyLoud Its not claiming her, she is a mexican by the laws of Mexico, and we have people like Guillermo del Toro(2 oscars), I\xc3\xb1\xc3\xa1rritu(5osc), and Cuaron(3 oscars) in the movies industry who are as succesful as lupita, even they got more Oscars than her, she has double nationality lol'"
24-11-22 20:30,b'@rahsh33m I\xe2\x80\x99m Mexican.. there\xe2\x80\x99s no way I\xe2\x80\x99d make it with my life if I tried and cleaned veggies like this. Why does it look like the greens have soap bubbles around them?? I get the why but even so I wouldn\xe2\x80\x99t cause people wash and soak their ass in the tub. I just couldn\xe2\x80\x99t .. https://t.co/l0pUiKcvJV'
24-11-22 20:28,"b'@KiiaTranscend @mrpurin_fan That\xe2\x80\x99s not true, it was the Mexican authorities who stated she was trans and people ran with the misinformation. They still haven\xe2\x80\x99t made the correction either.'"
24-11-22 20:27,b'Being the only white guy in the Mexican market by my house is so funny people are always staring at me'
24-11-22 20:26,b'@Joesma16 lmfao i know kinda sketchy huh? those cartel type mexican dealers will definitly stab people to death or have people do that...'
24-11-22 20:25,"b'As somebody who mostly hangs with college people \nA loud, ghetto, dick hopping, wannabe black Mexican hoodrat could never be my friend \xf0\x9f\x98\x91\xf0\x9f\x98\x82'"
24-11-22 20:21,b'@SarHandicrapper @WilliamLaforce @RightWingWatch @SarHandicrapper go take a look at pictures of  Mexican or Colombian presidents. See how  much they resemble what you imagine those people should resemble.  Most of them were white and considered themselves white.'
24-11-22 20:18,"b""@Bacumax hell yeah. i remember back around super mario Odessey's release  non mexican people were pissed by the mexican outfit you could get in game saying it's offensive. then it turned out you guys loved the representation ^^"""
24-11-22 20:10,"b""@NotaliaMateo But Mexican cartels don't drive tanks to crush people alive, do they?"""
24-11-22 20:06,"b'@VP Are you having Mexican food today, remember the people to the south'"
24-11-22 20:01,"b'@SoCalFranchize @TacoTrail @GustavoArellano @puffdamajikdrgn Brother, it depends what food you\xe2\x80\x99re taking about. Tacos? Sure maybe, especially Tj style. But overall Mexican food is hands down LA. Just has so many people from from so many places in Mexico.'"
24-11-22 20:00,"b'WHO THW FUCK ARE THESE PEOPLE, I HATE MEXICAN THANKSGIVING'"
24-11-22 19:59,"b""People that have never worked a job with a lot of middle aged mexican people don't know how absolutely fucking insane mexican music is"""
24-11-22 19:56,b'I\xe2\x80\x99ve seen a Mexican man making chicken in a washing machine and a black woman making greens in the bathtub. I am BEGGING my people to sit this one out. https://t.co/dj1i2yZr4Z'
24-11-22 19:55,"b""@TheShadeRoom @KomebackSeason @wsbtv All of this is really sad and quite disturbing. We live in a culture where people record fights instead of stopping them. She's about to really be the poster child for what not to do. Mexican prisons are no joke."""
24-11-22 19:44,"b""@nathaliejacoby1 Not only slavery but also Native American and Asian and Mexican treatment in this country. The way any and all minorities entering from Europe were done. It's not a secret that should be kept from people. It would only make America a loving an better country..."""
24-11-22 19:41,b'@OK_HONEY_BEE @StillDave5 @benshapiro McVeigh didn\xe2\x80\x99t blow up a federal building without a political motive.\n\nWhite El Paso shooter didn\xe2\x80\x99t kill a bunch of Mexican Americans without political motive.\n\nWhite Buffalo &amp; Charleston shooters didn\xe2\x80\x99t kill a bunch of black people without political motive.'
24-11-22 19:38,"b'@burmmmm @thehill The \xe2\x80\x9cculprit\xe2\x80\x9d is a combination of the Mexican Drug Cartels, the Democrats who want more voters, and the US Chamber of Commerce who wants more cheap labor. The unintended consequence is drug overdoses, inflation from an increase in people, and depressed wages.'"
24-11-22 19:35,"b""@KinkOfTheL I am Mexican Thanksgiving doesn't exist, but we have to understand that many people are from the US, also in my family we were celebrating this festivity even if nobody cares because is a nice and cute celebration (1/2)"""
24-11-22 19:34,b'@THEEMZBLUE @DailyLoud It does actually. If you are born in Mexico or born to Mexican parents outside of Mexico you can become a Mexican citizen and get nationality. Same thing for USA. Mexican isn\xe2\x80\x99t a race but a nationality. Native people still exist in Mexico.'
24-11-22 19:34,"b""@ASTRANOMICONX As a Mexican indigenous individual. Who cares y'all. Leave Shei to her opinions and wishes really. I'm not celebrating it. Big deal. People can choose what to do. Not really your choice to decide what she thinks. Y'all keep your comments to yourself for ONCE."""
24-11-22 19:29,"b""Ecstasy was made in people's basements in Holland. They just couldn't compete with the Sinaloan Mexican Super Meth flooding everything. https://t.co/ks1YHaozw8"""
24-11-22 19:28,b'@mlczdk @lucin_althean @ShaggyKC @LegendaryEnergy @RealBrysonGray He wants to say it so bad and should if his heart desires. So people know who he really is. He\xe2\x80\x99s really up here pretending nonblack people don\xe2\x80\x99t say the n word when almost every single Mexican I know in La uses the word but not offensively'
24-11-22 19:28,"b'@MexCultureDC Thank you for sharing Mexican culture. Please direct your staff to learn MORE about #Indigenous #American culture and the HISTORY of today. WE call it ""The DAY of MOURNING"" in HONOR of 20 MILLION Native People genocided after the Pilgrim BETRAYAL. This is our 53rd commemoration.'"
24-11-22 19:25,b'@navaruushhh Well if your born in Mexico you are Mexican by law\xe2\x80\xa6 Mexico is still a racist (and colorist) country not even brown or indigenous people get on TV or adds and we are about the 75% of the population.'
24-11-22 19:23,"b'They\xe2\x80\x99re actually the same, people just pretend that Mexican beans are better because there\xe2\x80\x99s nothing else that Mexicans can be proud of. https://t.co/VSxsUbOhQf'"
24-11-22 19:22,"b'@ChildofSunday @Jennife37476068 @fernie_705 @KimKardashian Exactly, some people are way to quick to yell racist or homophobic. Those words are so Overused \xf0\x9f\xa5\xb1\xf0\x9f\x92\xa4 Especially to an open minded typical California girl who was in a four year relationship with a Lesbian, a black man and my current husband is a great provider and \xf0\x9f\x92\xaf Mexican \xf0\x9f\x91\x8b\xf0\x9f\x98\x99'"
24-11-22 19:17,"b'@DailyLoud Was gonna say goddamn them Kenyan genes are strong as shit, but I hope Mexicans aint really out here tryna claim her when she\xe2\x80\x99s just a national and was out by the age of 3\n\nIf she identifies as Kenyan, Mexican then so be it. Regardless huge win for the Kenyan people \xf0\x9f\x91\x8f\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf'"
24-11-22 19:09,"b""@Nesasio2 @SamMGreer @lackingsaint exactly, this group claim it's about quality media, that clearly is about racism. My grandmother and my mom was white, in the usa nobody thought they was mexican but europeans, my dad was Mayan. We are a fun mix of people down here."""
24-11-22 19:09,b'@WillowSuperDark It varries personally since I\xe2\x80\x99m Mexican I eat tamales but I think people still eat turkey / ham for Christmas dinner'
24-11-22 19:05,"b""I can tell people in this area have never actually had any Mexican food before in their lives bc what is this. Why is this so popular. It's so bland. How do you fuck up carne asada this bad"""
24-11-22 19:04,"b""@Sackrodgerss @lcfcd21 Last I checked the Mexican government didn't imprison people just for being gay and actually respect freedom of expression but keep shagging the archaic state"""
24-11-22 19:02,"b'@NEkdal There is a big difference. The people coming in to the US from South of the border are coming to work and support their families. No incentives like free dental care,  ""graeddfiler"", or monthly welfare payments. We need more hard working Mexican immigrants here in the USA.'"
24-11-22 19:00,b'@POTUS Activate them against Mexican drug cartels then and only then might. I believe you care about the American people.until then your just a #narcoterrorist like El Chapo only way more powerful.'
24-11-22 18:49,"b""@VirtueofCrowds Yeah, it's kind of a funny thing. People who are not familiar with the city/area are usually surprised by it. Some even are in denial and say it must be a mistake LOL But yeah, some areas in the city and area are just extremely Mexican."""
24-11-22 18:49,"b'@DashDobrofsky The ranchers on the southern border need a gun like the AR 15 rifle because the Mexican drug cartels and human trafficking cartels are armed with them, so they shouldn\xe2\x80\x99t be banned also mentally ill people mostly men commit mass shootings not guns. Let\xe2\x80\x99s hold criminals accountable'"
